m1,rule1,link,m2,rule2,n1,n2,s1,s2,j
1,high_cholesterol heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.76,0.7111111111111111,0.47111111111111104
2,high_cholesterol drug_use heart_failure alcohol_use high_rbc,,0,,5,0,0.62,0.8511111111111112,0.47111111111111104
1,high_cholesterol drug_use diabetes high_rbc sedentary,,0,,5,0,0.745,0.7261111111111112,0.47111111111111104
1,high_cholesterol heart_failure high_rbc sedentary,,0,,4,0,0.755,0.7161111111111111,0.47111111111111104
1,drug_use heart_failure diabetes high_rbc sedentary,,0,,5,0,0.765,0.7055555555555556,0.4705555555555556
2,high_cholesterol drug_use heart_failure high_rbc sedentary,,0,,5,0,0.65,0.82,0.47
1,high_cholesterol heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.745,0.725,0.47
1,high_cholesterol alcohol_use high_rbc sedentary,,0,,4,0,0.735,0.735,0.47
1,drug_use smoking heart_failure high_rbc,,0,,4,0,0.765,0.7044444444444444,0.46944444444444455
1,high_cholesterol smoking heart_failure high_rbc,,0,,4,0,0.76,0.7088888888888889,0.4688888888888889
1,high_cholesterol drug_use diabetes high_rbc,,0,,4,0,0.72,0.7488888888888889,0.4688888888888889
1,high_cholesterol smoking heart_failure alcohol_use high_rbc,,0,,5,0,0.765,0.7033333333333334,0.46833333333333327
1,high_cholesterol high_rbc,,0,,2,0,0.69,0.7783333333333333,0.46833333333333327
1,drug_use high_rbc sedentary,,0,,3,0,0.73,0.7383333333333333,0.46833333333333327
1,high_cholesterol drug_use smoking heart_failure diabetes,,0,,5,0,0.72,0.7472222222222222,0.4672222222222222
1,high_cholesterol drug_use heart_failure sedentary,,0,,4,0,0.7,0.7666666666666667,0.4666666666666668
1,high_cholesterol drug_use smoking high_rbc,,0,,4,0,0.75,0.7166666666666667,0.4666666666666668
1,high_cholesterol smoking high_rbc,,0,,3,0,0.735,0.7311111111111112,0.46611111111111114
1,drug_use diabetes high_rbc sedentary,,0,,4,0,0.735,0.7305555555555555,0.4655555555555555
1,high_cholesterol diabetes high_rbc sedentary,,0,,4,0,0.73,0.7355555555555555,0.4655555555555555
1,drug_use smoking heart_failure alcohol_use high_rbc,,0,,5,0,0.765,0.7005555555555556,0.4655555555555555
1,drug_use high_rbc,,0,,2,0,0.695,0.77,0.46499999999999986
1,high_cholesterol heart_failure diabetes high_rbc sedentary,,0,,5,0,0.755,0.71,0.46499999999999986
1,high_cholesterol drug_use alcohol_use high_rbc,,0,,4,0,0.72,0.745,0.46499999999999986
1,drug_use smoking heart_failure alcohol_use,,0,,4,0,0.7,0.7644444444444445,0.46444444444444444
2,drug_use smoking heart_failure alcohol_use high_rbc,,0,,5,0,0.64,0.8238888888888889,0.463888888888889
1,high_cholesterol alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.735,0.7288888888888889,0.463888888888889
1,drug_use alcohol_use high_rbc sedentary,,0,,4,0,0.73,0.7333333333333333,0.4633333333333334
1,high_cholesterol drug_use heart_failure diabetes sedentary,,0,,5,0,0.705,0.7583333333333333,0.4633333333333334
1,high_cholesterol smoking heart_failure diabetes high_rbc,,0,,5,0,0.76,0.7027777777777777,0.46277777777777773
1,high_cholesterol drug_use smoking high_rbc sedentary,,0,,5,0,0.765,0.6977777777777778,0.46277777777777773
2,high_cholesterol drug_use heart_failure diabetes high_rbc,,0,,5,0,0.61,0.8527777777777777,0.46277777777777773
1,drug_use smoking heart_failure high_rbc sedentary,,0,,5,0,0.775,0.6872222222222222,0.4622222222222221
1,smoking heart_failure high_rbc,,0,,3,0,0.745,0.7172222222222222,0.4622222222222221
1,drug_use smoking heart_failure diabetes high_rbc,,0,,5,0,0.765,0.6972222222222222,0.4622222222222221
1,smoking heart_failure alcohol_use high_rbc,,0,,4,0,0.75,0.7116666666666667,0.46166666666666667
1,high_cholesterol smoking alcohol_use high_rbc,,0,,4,0,0.74,0.7211111111111111,0.46111111111111125
1,drug_use smoking heart_failure alcohol_use diabetes,,0,,5,0,0.71,0.7511111111111111,0.461111111111111
1,high_cholesterol diabetes high_rbc,,0,,3,0,0.69,0.7705555555555555,0.4605555555555556
1,drug_use alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.735,0.7255555555555555,0.4605555555555556
1,high_cholesterol drug_use smoking diabetes high_rbc,,0,,5,0,0.75,0.7105555555555556,0.4605555555555556
1,high_cholesterol smoking diabetes high_rbc,,0,,4,0,0.735,0.725,0.45999999999999996
2,high_cholesterol drug_use smoking alcohol_use high_rbc,,0,,5,0,0.625,0.835,0.45999999999999996
1,drug_use diabetes high_rbc,,0,,3,0,0.7,0.76,0.45999999999999996
2,high_cholesterol drug_use heart_failure high_rbc,,0,,4,0,0.6,0.8594444444444445,0.4594444444444443
2,drug_use smoking heart_failure diabetes high_rbc,,0,,5,0,0.635,0.8244444444444444,0.4594444444444443
1,high_cholesterol drug_use smoking alcohol_use high_rbc,,0,,5,0,0.75,0.7094444444444444,0.4594444444444443
1,high_cholesterol smoking high_rbc sedentary,,0,,4,0,0.755,0.7038888888888889,0.4588888888888889
2,high_cholesterol smoking heart_failure high_rbc sedentary,,0,,5,0,0.65,0.8088888888888889,0.4588888888888889
1,drug_use heart_failure alcohol_use,,0,,3,0,0.645,0.8138888888888889,0.4588888888888889
1,high_cholesterol smoking alcohol_use high_rbc sedentary,,0,,5,0,0.76,0.6988888888888889,0.4588888888888889
1,high_cholesterol drug_use smoking heart_failure sedentary,,0,,5,0,0.73,0.7283333333333334,0.4583333333333335
1,high_cholesterol alcohol_use high_rbc,,0,,3,0,0.695,0.7627777777777778,0.45777777777777784
2,drug_use smoking heart_failure high_rbc sedentary,,0,,5,0,0.66,0.7977777777777778,0.45777777777777784
1,high_cholesterol smoking heart_failure high_rbc sedentary,,0,,5,0,0.77,0.6877777777777778,0.45777777777777784
1,drug_use smoking high_rbc sedentary,,0,,4,0,0.755,0.7027777777777777,0.45777777777777784
1,high_cholesterol drug_use smoking alcohol_use,,0,,4,0,0.685,0.7722222222222223,0.4572222222222222
1,high_cholesterol drug_use smoking,,0,,3,0,0.675,0.7822222222222223,0.4572222222222222
1,drug_use smoking heart_failure alcohol_use sedentary,,0,,5,0,0.725,0.7322222222222222,0.4572222222222222
1,high_cholesterol drug_use alcohol_use diabetes high_rbc,,0,,5,0,0.72,0.7372222222222222,0.4572222222222222
1,heart_failure alcohol_use high_rbc sedentary,,0,,4,0,0.74,0.7161111111111111,0.45611111111111113
2,high_cholesterol drug_use smoking high_rbc,,0,,4,0,0.61,0.8461111111111111,0.45611111111111113
1,drug_use smoking high_rbc,,0,,3,0,0.73,0.7261111111111112,0.45611111111111113
1,heart_failure high_rbc sedentary,,0,,3,0,0.735,0.7211111111111111,0.45611111111111113
1,drug_use smoking heart_failure diabetes,,0,,4,0,0.7,0.7555555555555555,0.4555555555555555
1,high_cholesterol smoking alcohol_use diabetes high_rbc,,0,,5,0,0.74,0.715,0.45500000000000007
1,heart_failure alcohol_use high_rbc,,0,,3,0,0.71,0.7444444444444445,0.45444444444444443
1,high_cholesterol smoking diabetes high_rbc sedentary,,0,,5,0,0.755,0.6994444444444444,0.45444444444444443
1,smoking heart_failure diabetes high_rbc,,0,,4,0,0.745,0.7094444444444444,0.45444444444444443
1,drug_use smoking alcohol_use high_rbc sedentary,,0,,5,0,0.755,0.6994444444444444,0.45444444444444443
1,drug_use smoking heart_failure,,0,,3,0,0.685,0.7688888888888888,0.4538888888888888
2,high_cholesterol drug_use smoking high_rbc sedentary,,0,,5,0,0.645,0.8088888888888889,0.4538888888888888
1,smoking heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.75,0.7038888888888889,0.4538888888888888
2,drug_use smoking heart_failure high_rbc,,0,,4,0,0.62,0.8333333333333334,0.45333333333333337
1,smoking heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.765,0.6883333333333334,0.45333333333333337
2,high_cholesterol drug_use smoking diabetes high_rbc,,0,,5,0,0.615,0.8377777777777777,0.4527777777777777
1,drug_use smoking diabetes high_rbc sedentary,,0,,5,0,0.755,0.6972222222222222,0.4522222222222223
1,smoking heart_failure high_rbc sedentary,,0,,4,0,0.76,0.6922222222222222,0.4522222222222223
1,drug_use heart_failure alcohol_use diabetes,,0,,4,0,0.655,0.7972222222222223,0.4522222222222223
1,drug_use alcohol_use high_rbc,,0,,3,0,0.695,0.7572222222222222,0.4522222222222223
1,high_cholesterol drug_use smoking diabetes,,0,,4,0,0.68,0.7711111111111111,0.451111111111111
1,drug_use smoking heart_failure diabetes sedentary,,0,,5,0,0.725,0.7261111111111112,0.451111111111111
1,high_cholesterol drug_use smoking alcohol_use diabetes,,0,,5,0,0.69,0.7611111111111111,0.451111111111111
1,drug_use heart_failure diabetes,,0,,3,0,0.645,0.8061111111111111,0.451111111111111
1,drug_use heart_failure alcohol_use sedentary,,0,,4,0,0.68,0.77,0.4500000000000002
1,high_cholesterol smoking heart_failure alcohol_use sedentary,,0,,5,0,0.715,0.735,0.44999999999999996
1,high_cholesterol drug_use smoking alcohol_use sedentary,,0,,5,0,0.71,0.74,0.44999999999999996
1,high_cholesterol alcohol_use diabetes high_rbc,,0,,4,0,0.695,0.755,0.44999999999999996
1,drug_use smoking heart_failure sedentary,,0,,4,0,0.715,0.735,0.44999999999999996
1,smoking high_rbc sedentary,,0,,3,0,0.74,0.7094444444444444,0.44944444444444454
1,heart_failure diabetes high_rbc sedentary,,0,,4,0,0.735,0.7144444444444444,0.44944444444444454
1,heart_failure alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.74,0.7094444444444444,0.44944444444444454
1,smoking alcohol_use high_rbc sedentary,,0,,4,0,0.745,0.7044444444444444,0.44944444444444454
1,drug_use heart_failure alcohol_use diabetes sedentary,,0,,5,0,0.69,0.7594444444444445,0.44944444444444454
1,drug_use smoking diabetes high_rbc,,0,,4,0,0.73,0.7183333333333334,0.44833333333333325
1,smoking high_rbc,,0,,2,0,0.705,0.7433333333333333,0.44833333333333325
1,heart_failure high_rbc,,0,,2,0,0.695,0.7533333333333333,0.44833333333333325
1,high_cholesterol smoking heart_failure alcohol_use,,0,,4,0,0.67,0.7777777777777778,0.44777777777777783
1,high_cholesterol drug_use alcohol_use,,0,,3,0,0.615,0.8327777777777777,0.4477777777777776
1,drug_use smoking alcohol_use high_rbc,,0,,4,0,0.73,0.7177777777777777,0.4477777777777776
1,smoking heart_failure diabetes high_rbc sedentary,,0,,5,0,0.76,0.6872222222222222,0.4472222222222222
1,drug_use alcohol_use diabetes high_rbc,,0,,4,0,0.7,0.7472222222222222,0.4472222222222222
1,smoking alcohol_use high_rbc,,0,,3,0,0.715,0.7316666666666667,0.44666666666666677
1,high_cholesterol drug_use smoking sedentary,,0,,4,0,0.7,0.7444444444444445,0.4444444444444444
1,smoking diabetes high_rbc,,0,,3,0,0.71,0.7344444444444445,0.4444444444444444
1,heart_failure alcohol_use diabetes high_rbc,,0,,4,0,0.71,0.7344444444444445,0.4444444444444444
1,smoking alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.745,0.6988888888888889,0.443888888888889
2,high_cholesterol smoking heart_failure alcohol_use high_rbc,,0,,5,0,0.605,0.8388888888888889,0.443888888888889
1,smoking diabetes high_rbc sedentary,,0,,4,0,0.74,0.7038888888888889,0.443888888888889
1,drug_use heart_failure diabetes sedentary,,0,,4,0,0.68,0.7633333333333333,0.44333333333333336
1,high_cholesterol drug_use smoking diabetes sedentary,,0,,5,0,0.705,0.7377777777777778,0.4427777777777777
1,drug_use heart_failure,,0,,2,0,0.62,0.8227777777777778,0.4427777777777777
2,high_cholesterol smoking heart_failure high_rbc,,0,,4,0,0.595,0.8472222222222222,0.44222222222222207
1,high_cholesterol smoking heart_failure alcohol_use diabetes,,0,,5,0,0.675,0.7661111111111111,0.44111111111111123
2,high_cholesterol drug_use alcohol_use diabetes high_rbc,,0,,5,0,0.575,0.8655555555555555,0.4405555555555556
1,high_cholesterol drug_use alcohol_use sedentary,,0,,4,0,0.65,0.79,0.43999999999999995
1,drug_use smoking alcohol_use diabetes high_rbc,,0,,5,0,0.73,0.71,0.43999999999999995
2,high_cholesterol smoking alcohol_use high_rbc sedentary,,0,,5,0,0.62,0.82,0.43999999999999995
2,smoking heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.625,0.815,0.43999999999999995
1,high_cholesterol smoking heart_failure,,0,,3,0,0.655,0.7844444444444445,0.4394444444444445
1,high_rbc sedentary,,0,,2,0,0.69,0.7494444444444445,0.4394444444444443
2,high_cholesterol drug_use alcohol_use high_rbc,,0,,4,0,0.565,0.8744444444444445,0.4394444444444443
2,high_cholesterol drug_use smoking heart_failure sedentary,,0,,5,0,0.61,0.8294444444444444,0.4394444444444443
1,drug_use heart_failure sedentary,,0,,3,0,0.665,0.7738888888888888,0.4388888888888889
1,high_cholesterol smoking heart_failure sedentary,,0,,4,0,0.7,0.7388888888888889,0.4388888888888889
2,high_cholesterol smoking high_rbc sedentary,,0,,4,0,0.61,0.8283333333333334,0.43833333333333346
1,smoking alcohol_use diabetes high_rbc,,0,,4,0,0.715,0.7233333333333334,0.43833333333333346
1,high_cholesterol drug_use alcohol_use diabetes,,0,,4,0,0.62,0.8183333333333334,0.43833333333333346
1,heart_failure diabetes high_rbc,,0,,3,0,0.695,0.7433333333333333,0.43833333333333324
2,high_cholesterol smoking heart_failure diabetes high_rbc,,0,,5,0,0.6,0.8377777777777777,0.4377777777777778
1,alcohol_use high_rbc sedentary,,0,,3,0,0.695,0.7427777777777778,0.4377777777777778
1,high_cholesterol heart_failure alcohol_use sedentary,,0,,4,0,0.66,0.7772222222222223,0.4372222222222222
1,high_cholesterol drug_use,,0,,2,0,0.585,0.8522222222222222,0.4372222222222222
1,high_cholesterol smoking heart_failure diabetes sedentary,,0,,5,0,0.705,0.7316666666666667,0.43666666666666654
2,drug_use heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.61,0.8261111111111111,0.4361111111111111
1,high_cholesterol smoking alcohol_use sedentary,,0,,4,0,0.685,0.7511111111111111,0.4361111111111111
1,high_cholesterol drug_use alcohol_use diabetes sedentary,,0,,5,0,0.655,0.7811111111111111,0.4361111111111111
1,diabetes high_rbc sedentary,,0,,3,0,0.695,0.7411111111111112,0.4361111111111111
2,high_cholesterol smoking diabetes high_rbc sedentary,,0,,5,0,0.615,0.8211111111111111,0.4361111111111111
2,drug_use smoking diabetes high_rbc sedentary,,0,,5,0,0.625,0.8105555555555556,0.4355555555555557
1,alcohol_use diabetes high_rbc sedentary,,0,,4,0,0.7,0.7344444444444445,0.4344444444444444
2,drug_use smoking alcohol_use high_rbc sedentary,,0,,5,0,0.625,0.8088888888888889,0.43388888888888877
1,smoking heart_failure alcohol_use sedentary,,0,,4,0,0.69,0.7438888888888889,0.43388888888888877
1,high_cholesterol smoking alcohol_use diabetes sedentary,,0,,5,0,0.69,0.7438888888888889,0.43388888888888877
1,drug_use smoking alcohol_use diabetes sedentary,,0,,5,0,0.695,0.7388888888888889,0.43388888888888877
2,drug_use heart_failure diabetes high_rbc sedentary,,0,,5,0,0.61,0.8238888888888889,0.43388888888888877
1,smoking heart_failure alcohol_use diabetes sedentary,,0,,5,0,0.7,0.7338888888888889,0.43388888888888877
1,drug_use smoking alcohol_use sedentary,,0,,4,0,0.685,0.7483333333333333,0.43333333333333335
1,high_cholesterol heart_failure alcohol_use diabetes sedentary,,0,,5,0,0.665,0.7683333333333333,0.43333333333333335
2,drug_use smoking alcohol_use diabetes high_rbc,,0,,5,0,0.595,0.8377777777777777,0.4327777777777777
1,high_cholesterol heart_failure alcohol_use,,0,,3,0,0.6,0.8322222222222222,0.4322222222222223
1,high_cholesterol smoking heart_failure diabetes,,0,,4,0,0.66,0.7722222222222223,0.4322222222222223
1,high_cholesterol drug_use diabetes,,0,,3,0,0.595,0.8361111111111111,0.431111111111111
1,high_cholesterol drug_use sedentary,,0,,3,0,0.635,0.7961111111111111,0.431111111111111
2,smoking heart_failure diabetes high_rbc sedentary,,0,,5,0,0.62,0.8094444444444444,0.4294444444444445
2,smoking heart_failure high_rbc sedentary,,0,,4,0,0.61,0.8194444444444444,0.4294444444444445
1,drug_use smoking diabetes sedentary,,0,,4,0,0.685,0.7438888888888889,0.4288888888888889
2,drug_use smoking high_rbc sedentary,,0,,4,0,0.61,0.8188888888888889,0.4288888888888889
1,drug_use smoking sedentary,,0,,3,0,0.675,0.7533333333333333,0.42833333333333323
2,drug_use smoking diabetes high_rbc,,0,,4,0,0.58,0.8483333333333334,0.42833333333333323
1,high_cholesterol smoking sedentary,,0,,3,0,0.67,0.7577777777777778,0.4277777777777778
2,high_cholesterol heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.595,0.8327777777777777,0.4277777777777776
2,drug_use smoking alcohol_use high_rbc,,0,,4,0,0.58,0.8477777777777777,0.4277777777777776
1,high_cholesterol drug_use diabetes sedentary,,0,,4,0,0.64,0.7872222222222223,0.4272222222222224
2,high_cholesterol drug_use alcohol_use high_rbc sedentary,,0,,5,0,0.6,0.8266666666666667,0.42666666666666675
1,high_cholesterol smoking diabetes sedentary,,0,,4,0,0.675,0.7505555555555555,0.42555555555555546
2,high_cholesterol drug_use smoking heart_failure diabetes,,0,,5,0,0.565,0.86,0.4249999999999998
1,high_cholesterol heart_failure sedentary,,0,,3,0,0.64,0.7822222222222223,0.4222222222222223
2,high_cholesterol drug_use diabetes high_rbc,,0,,4,0,0.545,0.8766666666666667,0.42166666666666686
1,high_cholesterol heart_failure alcohol_use diabetes,,0,,4,0,0.605,0.8166666666666667,0.42166666666666663
2,high_cholesterol drug_use smoking heart_failure alcohol_use,,0,,5,0,0.565,0.8561111111111112,0.4211111111111112
2,drug_use heart_failure high_rbc sedentary,,0,,4,0,0.59,0.8311111111111111,0.4211111111111112
1,high_cholesterol smoking alcohol_use,,0,,3,0,0.62,0.8011111111111111,0.4211111111111112
1,high_cholesterol smoking,,0,,2,0,0.605,0.8155555555555556,0.42055555555555557
2,high_cholesterol drug_use diabetes high_rbc sedentary,,0,,5,0,0.59,0.83,0.41999999999999993
1,high_cholesterol heart_failure,,0,,2,0,0.575,0.8444444444444444,0.4194444444444443
1,smoking heart_failure sedentary,,0,,3,0,0.67,0.7483333333333333,0.41833333333333345
1,high_cholesterol heart_failure diabetes sedentary,,0,,4,0,0.645,0.7733333333333333,0.41833333333333345
1,smoking heart_failure diabetes sedentary,,0,,4,0,0.68,0.7383333333333333,0.41833333333333345
2,high_cholesterol heart_failure diabetes high_rbc sedentary,,0,,5,0,0.585,0.8327777777777777,0.4177777777777778
2,high_cholesterol drug_use smoking heart_failure,,0,,4,0,0.55,0.8677777777777778,0.4177777777777778
2,high_cholesterol heart_failure high_rbc sedentary,,0,,4,0,0.58,0.8377777777777777,0.4177777777777778
2,high_cholesterol drug_use high_rbc,,0,,3,0,0.53,0.8872222222222222,0.41722222222222216
2,high_cholesterol drug_use high_rbc sedentary,,0,,4,0,0.58,0.8361111111111111,0.4161111111111111
1,drug_use smoking alcohol_use,,0,,3,0,0.63,0.7861111111111111,0.4161111111111111
2,drug_use smoking high_rbc,,0,,3,0,0.555,0.8594444444444445,0.4144444444444444
1,high_cholesterol smoking alcohol_use diabetes,,0,,4,0,0.625,0.7888888888888889,0.41388888888888875
1,high_cholesterol heart_failure diabetes,,0,,3,0,0.585,0.8283333333333334,0.41333333333333333
1,drug_use smoking,,0,,2,0,0.615,0.7983333333333333,0.41333333333333333
1,smoking heart_failure alcohol_use,,0,,3,0,0.61,0.8027777777777778,0.4127777777777779
1,drug_use smoking diabetes,,0,,3,0,0.63,0.7827777777777778,0.4127777777777779
1,high_cholesterol smoking diabetes,,0,,3,0,0.61,0.8022222222222222,0.41222222222222227
2,drug_use heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.555,0.8566666666666667,0.4116666666666666
2,high_cholesterol drug_use smoking sedentary,,0,,4,0,0.555,0.8561111111111112,0.4111111111111112
1,alcohol_use high_rbc,,0,,2,0,0.63,0.7811111111111111,0.411111111111111
1,drug_use smoking alcohol_use diabetes,,0,,4,0,0.64,0.7711111111111111,0.411111111111111
2,high_cholesterol drug_use smoking alcohol_use sedentary,,0,,5,0,0.565,0.8461111111111111,0.411111111111111
1,drug_use alcohol_use diabetes sedentary,,0,,4,0,0.62,0.7888888888888889,0.40888888888888886
2,high_cholesterol smoking alcohol_use high_rbc,,0,,4,0,0.545,0.8633333333333333,0.4083333333333332
2,drug_use heart_failure alcohol_use high_rbc,,0,,4,0,0.54,0.8666666666666667,0.40666666666666673
2,high_cholesterol drug_use smoking diabetes sedentary,,0,,5,0,0.56,0.8461111111111111,0.4061111111111111
1,drug_use alcohol_use sedentary,,0,,3,0,0.605,0.8011111111111111,0.4061111111111111
1,smoking heart_failure alcohol_use diabetes,,0,,4,0,0.625,0.7805555555555556,0.40555555555555545
2,high_cholesterol smoking high_rbc,,0,,3,0,0.53,0.875,0.405
1,high_rbc,,0,,1,0,0.605,0.7994444444444444,0.4044444444444444
1,alcohol_use diabetes high_rbc,,0,,3,0,0.635,0.7688888888888888,0.40388888888888896
2,high_cholesterol smoking diabetes high_rbc,,0,,4,0,0.54,0.8633333333333333,0.4033333333333333
2,high_cholesterol smoking alcohol_use diabetes high_rbc,,0,,5,0,0.55,0.8533333333333334,0.4033333333333333
2,drug_use smoking heart_failure alcohol_use sedentary,,0,,5,0,0.57,0.8327777777777777,0.4027777777777777
1,smoking alcohol_use sedentary,,0,,3,0,0.64,0.7622222222222222,0.40222222222222226
1,smoking alcohol_use diabetes sedentary,,0,,4,0,0.65,0.7516666666666667,0.40166666666666684
1,high_cholesterol alcohol_use sedentary,,0,,3,0,0.595,0.8066666666666666,0.4016666666666666
1,diabetes high_rbc,,0,,2,0,0.615,0.7861111111111111,0.4011111111111112
1,drug_use diabetes sedentary,,0,,3,0,0.605,0.7955555555555556,0.40055555555555555
3,high_cholesterol drug_use smoking heart_failure high_rbc,,0,,5,0,0.505,0.8927777777777778,0.3977777777777778
1,high_cholesterol alcohol_use diabetes sedentary,,0,,4,0,0.6,0.7972222222222223,0.39722222222222214
2,drug_use heart_failure diabetes high_rbc,,0,,4,0,0.53,0.8672222222222222,0.39722222222222214
1,heart_failure alcohol_use diabetes sedentary,,0,,4,0,0.62,0.7766666666666666,0.3966666666666665
2,high_cholesterol drug_use heart_failure alcohol_use sedentary,,0,,5,0,0.545,0.85,0.395
3,high_cholesterol drug_use smoking high_rbc sedentary,,0,,5,0,0.515,0.8794444444444445,0.3944444444444444
2,high_cholesterol smoking heart_failure alcohol_use sedentary,,0,,5,0,0.545,0.8488888888888889,0.39388888888888896
1,heart_failure alcohol_use sedentary,,0,,3,0,0.605,0.7888888888888889,0.39388888888888873
1,smoking heart_failure,,0,,2,0,0.58,0.8133333333333334,0.3933333333333333
1,drug_use sedentary,,0,,2,0,0.585,0.8077777777777778,0.3927777777777779
2,high_cholesterol heart_failure alcohol_use high_rbc,,0,,4,0,0.51,0.8822222222222222,0.39222222222222225
2,smoking alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.57,0.8222222222222222,0.39222222222222225
2,drug_use smoking heart_failure diabetes sedentary,,0,,5,0,0.56,0.8316666666666667,0.3916666666666666
2,high_cholesterol smoking heart_failure sedentary,,0,,4,0,0.535,0.8561111111111112,0.3911111111111112
2,smoking heart_failure alcohol_use high_rbc,,0,,4,0,0.53,0.8611111111111112,0.3911111111111112
2,drug_use smoking heart_failure sedentary,,0,,4,0,0.55,0.8394444444444444,0.3894444444444445
2,smoking heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.545,0.8438888888888889,0.38888888888888884
1,smoking heart_failure diabetes,,0,,3,0,0.6,0.7888888888888889,0.38888888888888884
2,smoking alcohol_use high_rbc sedentary,,0,,4,0,0.555,0.8327777777777777,0.3877777777777778
2,high_cholesterol heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.515,0.8722222222222222,0.38722222222222236
2,high_cholesterol smoking heart_failure diabetes sedentary,,0,,5,0,0.54,0.8466666666666667,0.3866666666666667
1,smoking sedentary,,0,,2,0,0.615,0.77,0.385
1,high_cholesterol sedentary,,0,,2,0,0.57,0.815,0.3849999999999998
2,high_cholesterol drug_use heart_failure diabetes sedentary,,0,,5,0,0.535,0.8494444444444444,0.3844444444444446
1,smoking diabetes sedentary,,0,,3,0,0.625,0.7594444444444445,0.3844444444444446
2,heart_failure alcohol_use diabetes high_rbc sedentary,,0,,5,0,0.545,0.8383333333333334,0.3833333333333333
2,smoking diabetes high_rbc sedentary,,0,,4,0,0.55,0.8327777777777777,0.38277777777777766
1,high_cholesterol diabetes sedentary,,0,,3,0,0.575,0.8055555555555556,0.38055555555555554
1,drug_use alcohol_use,,0,,2,0,0.52,0.8577777777777778,0.37777777777777777
2,high_cholesterol drug_use heart_failure sedentary,,0,,4,0,0.52,0.8577777777777778,0.37777777777777777
